ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
145,Thailand,1300-1500,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.17,7.92,7.58,7.5,7.58,11.8,7.67,7.42,82.83,0,5
146,Vietnam,900,"Eatan Commune, Krong Nang District, Krong Nang Province",22,60 kg,2021 / 2022,"June 3rd, 2022",Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,13.3,7.75,7.33,82.83,0,4
147,Nicaragua,1200,Matagalpa,275,69 kg,2022 / 2023,"January 30th, 2023",Natural / Dry,7.33,7.58,7.25,7.33,7.75,10.5,8.17,7.33,82.75,5,1
148,Costa Rica,1450,west Villege,10,30 kg,2021,"November 15th, 2022",Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,11.8,7.58,7.42,82.75,0,1
149,Colombia,1700,Huila,250,70 kg,2022,"July 11th, 2022",Washed / Wet,7.58,7.67,7.58,7.5,7.33,11.8,7.5,7.5,82.67,0,2
150,Thailand,1200 - 1580,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.33,7.58,7.58,7.5,7.67,13,7.67,7.33,82.67,1,0
151,Thailand,1200,Chiang Mai,6,50 kg,2021 / 2022,"June 14th, 2022",Natural / Dry,7.5,7.58,7.5,7.42,7.5,11.2,7.58,7.58,82.67,0,0
152,Honduras,1450,los planes de santa maria la paz,325,69 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.67,7.58,7.33,7.5,7.58,9.6,7.5,7.5,82.67,0,2
153,Taiwan,165,苗栗縣,1,4 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,7.67,7.67,7.42,7.42,7.42,9.8,7.5,7.5,82.58,0,0
154,Taiwan,465,苗栗縣,1,32 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.67,7.58,7.42,7.42,7.5,8.4,7.5,7.5,82.58,0,2
155,Nicaragua,1350,ESTELI,120,45 kg,2021 / 2022,"June 20th, 2022",Washed / Wet,7.5,7.58,7.42,7.58,7.5,10.1,7.58,7.42,82.58,0,0
156,El Salvador,1200,Apaneca - Ilamatepec,600,30 kg,2022 / 2023,"March 3rd, 2023",Washed / Wet,7.67,7.33,7.17,7.67,7.83,11.3,7.5,7.33,82.5,0,2
157,Panama,1200,Boquete,200,30 kg,2021 / 2022,"May 25th, 2022",Washed / Wet,7.75,7.67,7.17,7.67,7.42,10,7.42,7.42,82.5,0,0
158,Brazil,1100,MANTIQUEIRA / SUL DE MINAS,620,30 kg,2022 / 2023,"November 3rd, 2022",Natural / Dry,7.5,7.58,7.5,7.5,7.67,11.8,7.42,7.33,82.5,0,1
159,United States (Hawaii),640,Kona,4,15 kg,2022,"November 15th, 2022",Washed / Wet,7.33,7.58,7.5,7.5,7.5,11.7,7.58,7.5,82.5,0,1
160,Mexico,1340,Veracruz,10,15 kg,2021,"November 15th, 2022",Washed / Wet,7.67,7.42,7.5,7.5,7.67,10.7,7.42,7.33,82.5,0,0
161,Honduras,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",345,30 kg,2021 / 2022,"May 23rd, 2022",Washed / Wet,7.58,7.58,7.33,7.5,7.58,10.6,7.42,7.5,82.5,0,8
162,Taiwan,139,新竹縣,1,200 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.42,7.42,7.58,7.42,7.58,8.4,7.5,7.58,82.5,0,2
163,Nicaragua,1200-1350,"Matagalpa, Nicaragua",275,69 kg,2021 / 2022,"December 30th, 2022",Washed / Wet,7.58,7.58,7.42,7.42,7.5,11.4,7.5,7.42,82.42,0,0
164,Vietnam,1040,Dalat,77,15 kg,2021,"June 1st, 2022",Washed / Wet,7.5,7.5,7.33,7.5,7.5,10.5,7.42,7.58,82.33,0,0
165,El Salvador,1200,Apaneca - Ilamatepec,600,30 kg,2022 / 2023,"February 21st, 2023",Washed / Wet,7.5,7.5,7.42,7.42,7.42,12,7.67,7.42,82.33,0,10
166,El Salvador,1200,Apaneca - Ilamatepec,275,69 kg,2021 / 2022,"July 7th, 2022",Washed / Wet,7.33,7.67,7.25,7.67,7.83,11.8,7.42,7.17,82.33,0,0
167,Taiwan,140,新竹縣,1,5 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,7.67,7.58,7.42,7.5,7.33,10.8,7.42,7.42,82.33,0,1
168,Peru,1600,"Chanchamayo, La Merced",275,69 kg,2022 / 2023,"July 11th, 2022",Washed / Wet,7.67,7.5,7.33,7.58,7.33,11.7,7.42,7.42,82.25,0,3
169,United States (Hawaii),1200,Kona district of Big Island,3,30 kg,2022,"November 9th, 2022",Washed / Wet,7.75,7.42,7.33,7.5,7.33,10.6,7.5,7.33,82.17,1,5
170,Kenya,1500-1950,Kericho,13,5 kg,2022,"April 7th, 2023",Washed / Wet,7.5,7.5,7.42,7.5,7.25,11.2,7.5,7.5,82.17,0,2
171,Honduras,1368,"Centro, Lagunetillas - Ajuterique, Comayagua",125,69 kg,2021 / 2022,"May 23rd, 2022",Washed / Wet,7.67,7.5,7.25,7.5,7.5,10.6,7.33,7.42,82.17,0,8
172,Taiwan,600,桃園市,1,3 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.5,7.67,7.33,7.5,7.25,9.7,7.33,7.5,82.08,0,0
173,Taiwan,460,苗栗縣,1,60 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,8.1,7.5,7.5,82.08,0,3
174,Taiwan,500,桃園市,1,20 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.5,7.58,7.42,7.42,7.25,8.2,7.42,7.42,82,0,1
175,Thailand,800-1200,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.17,7.5,7.42,7.42,7.58,9.8,7.5,7.42,82,0,0
176,Costa Rica,1500,Corralillo Tarrazu,500,30 kg,2018 / 2019,"March 29th, 2023",Washed / Wet,7.42,7.42,7.42,7.33,7.58,10.5,7.33,7.5,82,1,8
177,Guatemala,1350-1550,Oriente,275,69 kg,2021 / 2022,"November 28th, 2022",Washed / Wet,7.42,7.42,7.42,7.33,7.5,11.5,7.42,7.5,82,0,2
178,Indonesia,1350,Sumatra,320,60 kg,2022,"August 22nd, 2022",Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,12.5,7.25,7.42,82,0,0
179,Peru,1600,"Chanchamayo, La Merced",275,69 kg,2022 / 2023,"July 11th, 2022",Washed / Wet,7.5,7.5,7.33,7.5,7.33,11.6,7.33,7.42,81.92,0,2
180,Guatemala,1200~1600,Antigua,540,30 kg,2022,"November 3rd, 2022",Washed / Wet,7.33,7.42,7.33,7.42,7.58,10.3,7.42,7.42,81.92,0,1
181,Taiwan,300,桃園市,1,6 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,11.3,7.42,7.42,81.83,0,0
182,Vietnam,5400,Lam Dong Province,1,1 kg,2022 / 2023,"April 10th, 2023",Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,11.2,7.42,7.33,81.83,0,4
183,Brazil,1000,Mantiquira de minas,14,5 kg,2022,"April 7th, 2023",Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,11.3,7.33,7.42,81.83,0,2
184,Brazil,900-1000,Sul de Minas,325,59 kg,2021,"December 30th, 2022",Natural / Dry,7.42,7.5,7.58,7.33,7.33,11.1,7.25,7.33,81.75,0,0
185,Colombia,1574,Santander,275,70 kg,2021,"December 30th, 2022",Washed / Wet,7.33,7.5,7.33,7.42,7.42,11.2,7.42,7.33,81.75,0,0
186,Mexico,1200,"Coatepec, Veracruz",32,69 kg,2021 / 2022,"August 11th, 2022",Washed / Wet,7.58,7.42,7.25,7.25,7.5,11.8,7.33,7.33,81.67,2,2
187,Costa Rica,1200,occidente,100,69 kg,2022 / 2023,"March 29th, 2023",Washed / Wet,7.33,7.42,7.25,7.42,7.42,9.7,7.33,7.42,81.58,0,4
188,Taiwan,300,新北市,1,100 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,9,7.33,7.33,81.58,0,0
189,Taiwan,435,臺北市,1,8 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,8.5,7.25,7.33,81.5,0,0
190,Thailand,1300-1500,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.33,7.42,7.25,7.33,7.5,11.6,7.42,7.17,81.42,2,1
191,Thailand,1400,Chiang Rai,5,15 kg,2021,"November 15th, 2022",Natural / Dry,7.42,7.25,7.33,7.42,7.33,10.5,7.33,7.25,81.33,0,5
192,Thailand,600-800,North of Thailand,2,1 kg,2022,"July 14th, 2022",Washed / Wet,7.25,7.25,7.42,7.25,7.42,10.4,7.42,7.17,81.17,0,0
193,Colombia,1300-1800,Cauca,1,30 kg,2021 / 2022,"December 22nd, 2022",Washed / Wet,7.42,7.25,7.25,7.42,7.17,11.4,7.33,7.33,81.17,0,2
194,Brazil,1200,Alta Mogiana-Ibiraci,440,60 kg,2022 / 2023,"April 17th, 2023",Natural / Dry,7.42,7.42,7.25,7.25,7.17,10.6,7.25,7.25,81,0,1
195,El Salvador,1400,"Volcan Chinchontepek, San Vicente, El Salvador",1,2 kg,2023,"March 8th, 2023",Natural / Dry,7.42,7.33,7.33,7.5,7.08,10.5,7,7.17,80.83,0,7
196,Nicaragua,1100,,275,69 kg,2021,"July 11th, 2022",Washed / Wet,7.25,7.25,7.17,7.33,7.08,11.5,7.25,7.17,80.5,0,3
197,Nicaragua,1000,Jinotega,275,69 kg,2022 / 2023,"April 20th, 2023",Washed / Wet,7.42,7.17,7,7.08,7.42,11.2,7.17,7.17,80.42,0,5
198,Colombia,1600,"Caicedonia,Valle del Cauca",3,10 kg,2022,"March 6th, 2023",Washed / Wet,7.25,7.25,7.17,7.33,7,11,7.17,7.25,80.42,0,3
199,Peru,1600,"Chanchamayo, Lamerced",275,69 kg,2022 / 2023,"June 10th, 2022",Washed / Wet,7.5,7.25,7.17,7.17,7.17,11.8,7.08,7,80.33,0,11
200,El Salvador,1300,"Volcan Chinchontepek, San Vicente, El Salvador",1,2 kg,2023,"March 8th, 2023",Natural / Dry,7.08,7.25,7.08,7.42,7.42,11.5,7.08,7,80.33,0,7
201,Brazil,1200,Alta Mogiana-Ibiraci,440,60 kg,2021 / 2022,"July 20th, 2022",Natural / Dry,7.25,7.17,7.17,7.08,7.17,11.6,7.17,7.17,80.17,0,2
202,Brazil,950,Sul de Minas,2240,60 kg,2022 / 2023,"February 2nd, 2023",Natural / Dry,7.17,7.17,6.92,7.17,7.42,11.4,7.17,7.08,80.08,0,4
203,Nicaragua,1200,Matagalpa,300,30 kg,2022 / 2023,"March 3rd, 2023",Natural / Dry,7.33,7.08,6.75,7.17,7.42,10.4,7.17,7.08,80,0,12
204,Laos,1300,Bolaven Plateau,343,60 kg,2021 / 2022,"November 11th, 2022",Washed / Wet,7.25,7.17,7.08,7,7.08,11.6,7.08,7,79.67,0,11
205,El Salvador,1200,"Volcan de San Vicente, La Paz, El Salvador",1,2 kg,2023,"March 8th, 2023",Natural / Dry,6.5,6.75,6.75,7.17,7.08,11,7,6.83,78.08,0,13
206,Brazil,850-1100,Minas Gerais,600,60 kg,2021 / 2022,"November 18th, 2022",SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,11.3,6.67,6.67,78,0,1
