ID,Country of Origin,Altitude,Region,Number of Bags,Bag Weight,Harvest Year,Grading Date,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Moisture Percentage,Balance,Overall,Total Cup Points (TO BE RECALCULATED),Category One Defects,Category Two Defects
34,Ethiopia,2150 - 2350,Southern Ethiopia Guji,320,60 kg,2021 / 2022,"September 30th, 2022",Natural / Dry,8,8.08,8,8,7.67,12.3,7.75,7.83,85.33,0,4
35,Ethiopia,1700,OROMIA,320,19200 kg,2021 / 2022,"December 12th, 2022",Washed / Wet,7.92,7.75,7.83,8.17,8,9.4,7.75,7.83,85.25,0,1
36,Taiwan,1200,Chiayi,1,100 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8,7.92,7.83,7.92,7.83,9.5,7.83,7.92,85.25,0,0
37,Taiwan,650,"Dongshan Dist., Tainan City",20,5 kg,2022,"June 8th, 2022",Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,11.3,7.75,7.92,85.25,0,0
38,Kenya,1600-1900,Central,300,60 kg,2022 / 2023,"February 28th, 2023",Washed / Wet,8.17,7.75,7.83,7.58,7.92,9.2,8,8,85.25,0,1
39,Taiwan,850,"Caoling , Gukeng Township, Yunlin County",20,1 kg,2017 / 2018,"October 24th, 2022",Washed / Wet,7.75,7.92,7.75,8,7.83,10.3,7.92,8,85.17,0,0
40,Taiwan,300-500,秀林鄉Show Linxia Township,1,10 kg,2022,"December 12th, 2022",Natural / Dry,8,7.92,7.83,7.92,7.75,10,7.75,7.92,85.08,0,0
41,Taiwan,1000,台灣屏東,1,2 kg,2021 / 2022,"December 30th, 2022",Washed / Wet,8,8.08,7.67,7.75,7.92,10.5,7.83,7.83,85.08,0,0
42,Taiwan,800,苗栗縣,1,50 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,8,7.92,7.67,8,7.75,10,7.83,7.92,85.08,0,5
43,Uganda,1905,Rwenzori,320,60 kg,2021 / 2022,"June 29th, 2022",Washed / Wet,8,7.92,7.75,7.75,7.75,11,7.92,7.92,85,0,1
44,Taiwan,150,壽豐鄉Shoufeng Township,1,50 kg,2021 / 2022,"December 12th, 2022",,7.92,8,7.92,8,7.58,10.9,7.75,7.83,85,0,0
45,Taiwan,800,Yunlin,6,50 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8.17,8.08,7.83,7.67,7.67,10.1,7.75,7.83,85,0,0
46,Guatemala,1600,Antigua,600,30 kg,2022 / 2023,"April 17th, 2023",Washed / Wet,7.67,8.08,7.67,8,7.92,9.9,7.83,7.83,85,0,1
47,Guatemala,4700,Santa Rosa,632,30 kg,2022 / 2023,"February 23rd, 2023",Washed / Wet,7.67,8,7.75,7.92,8,11.3,7.83,7.83,85,0,4
48,Guatemala,1600,quiche,275,69 kg,2021 / 2022,"June 22nd, 2022",Washed / Wet,7.83,7.92,7.75,8,7.75,11.7,7.75,7.92,84.92,0,1
49,Taiwan,350-400,新竹縣,1,13 kg,2021 / 2022,"January 6th, 2023",Washed / Wet,7.92,7.92,7.83,7.83,7.75,9.5,7.83,7.83,84.92,0,2
50,Taiwan,230,新竹縣,1,4 kg,2021 / 2022,"January 6th, 2023",Natural / Dry,8,8,7.75,7.75,7.67,9.7,7.75,7.92,84.83,0,0
51,Indonesia,1200,Aceh Tengah,320,60 kg,2022,"September 23rd, 2022",,7.83,7.92,7.75,7.83,7.83,11.9,7.83,7.83,84.83,0,2
52,Peru,1750,Villa Rica,3,5 kg,2022,"November 15th, 2022",Washed / Wet,8,8,7.83,7.83,7.58,10.7,7.83,7.75,84.83,0,0
53,"Tanzania, United Republic Of",1654,Mbeya,620,30 kg,2022 / 2023,"November 9th, 2022",Washed / Wet,7.92,7.75,7.75,7.92,7.83,11.2,7.83,7.83,84.83,0,0
54,Taiwan,1300,Chiayi,1,25 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.83,7.83,7.67,7.67,7.83,9.5,8,8,84.83,0,0
55,Taiwan,1400,Nantou,1,30 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,7.67,7.92,7.92,7.83,7.75,10.4,7.83,7.83,84.75,0,0
56,Brazil,1100,Campo das Vertentes,5,36 kg,2022,"February 13th, 2023",Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,11.2,7.83,7.83,84.75,0,5
57,Panama,1200,Boquete,200,30 kg,2022 / 2023,"April 26th, 2023",Washed / Wet,7.83,7.83,7.75,7.92,7.83,10.3,7.75,7.83,84.75,0,5
58,Taiwan,1200,台灣屏東,1,2 kg,2021 / 2022,"December 30th, 2022",Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,10,7.75,7.75,84.75,0,0
59,Guatemala,1600,Huehuetenango,600,30 kg,2022 / 2023,"April 28th, 2023",Washed / Wet,7.67,8,7.67,7.83,7.92,10.6,7.67,7.92,84.67,0,1
60,Guatemala,4895,ANTIGUA GUATEMALA,66,30 kg,2021 / 2022,"May 19th, 2022",Natural / Dry,7.83,8,7.67,7.83,7.75,10.9,7.75,7.83,84.67,0,2
61,Costa Rica,1850,Tarrazu,260,69 kg,2022 / 2023,"April 19th, 2023",Washed / Wet,7.58,7.83,7.5,7.67,7.83,10,7.67,8.58,84.67,0,2
62,Taiwan,200-300,新竹縣,1,16 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,9.6,7.75,7.92,84.58,0,0
63,Taiwan,700,"( Dongshan Dist., Tainan City)",16,5 kg,2022,"June 8th, 2022",Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,11.5,7.67,7.75,84.58,0,0
64,Nicaragua,1350,ESTELI,74,45 kg,2021 / 2022,"June 9th, 2022",Natural / Dry,7.92,7.75,7.67,7.67,7.83,9.9,7.75,8,84.58,1,2
65,Taiwan,1250,Chiayi,1,80 kg,2021 / 2022,"November 15th, 2022",Washed / Wet,8.08,7.83,7.67,7.67,7.67,11.2,7.75,7.92,84.58,0,2
66,Taiwan,1450,Chiayi,1,104 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,7.83,8,7.67,7.75,7.67,10.3,7.75,7.92,84.58,0,0
67,Vietnam,650,Quang Tri,3,5 kg,2021 / 2022,"November 15th, 2022",Natural / Dry,8,7.83,7.75,7.67,7.58,11.6,7.83,7.92,84.58,0,0
68,Costa Rica,1900,"Los Santos,Tarrazu",1,22 kg,2022,"October 4th, 2022",Washed / Wet,7.75,7.83,7.67,7.83,7.75,11.7,7.75,7.92,84.5,0,0
69,Taiwan,520,苗栗縣,1,300 kg,2021 / 2022,"January 6th, 2023",Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,11.3,7.75,7.75,84.5,0,0
70,Honduras,1368,"Centro, Lagunetillas-Ajuterique, Comayagua",340,69 kg,2022 / 2023,"April 25th, 2023",Washed / Wet,7.83,7.92,7.75,7.75,7.75,9.8,7.75,7.75,84.5,0,3
